382293	ron	Unu, doi, trei, patru, cinci, șase, șapte, opt, nouă, zece.
382294	ron	Toate ființele umane se nasc libere și egale în demnitate și în drepturi. Ele sunt înzestrate cu rațiune și conștiință și trebuie să se comporte unele față de altele în spiritul fraternității.
399273	ron	Bine ați venit!
399274	ron	Bine ai venit!
399594	ron	„Mulțumesc.” — „Cu plăcere.”
399595	ron	Cu plăcere.
399597	ron	Vorbiți italiană?
399598	ron	Vorbești italiană?
399599	ron	Vorbiți japoneză?
399600	ron	Vorbești japoneză?
399604	ron	Vorbiți engleză?
399605	ron	Vorbești engleză?
399606	ron	Mulțumesc!
399607	ron	Poftă bună!
399609	ron	Bună dimineața la toată lumea.
399610	ron	Bună dimineața.
399611	ron	Bună seara.
399615	ron	Noapte bună, mamă.
399619	ron	Mulțumesc foarte mult!
399622	ron	Bună seara, ce faci?
399623	ron	Bună seara, ce mai faceți?
399624	ron	Bună, ce faci?
402116	ron	Bun venit!
405823	ron	Domnul Spencer lucrează la magazin.
405826	ron	Zăpada a acoperit tot orașul peste noapte.
405829	ron	Biroul domnului Popescu este la etajul zece.
405832	ron	Nori negri treceau deasupra orașului.
405835	ron	Transmite-i, te rog, salutări doamnei Andreescu!
405838	ron	Sâmbătă am fost la film, apoi la restaurant.
405841	ron	Am trecut pe la librărie și mi-am cumpărat o carte interesantă.
405844	ron	L-am văzut pe Ion la bibliotecă.
405974	ron	Vino aici, fetițo, stai jos!
405977	ron	Poftiți, doamnă, serviți-vă!
405982	ron	Doamnă Ionescu, aș vrea să vă întreb ceva.
405985	ron	Domnule, vă rog completați acest formular.
405988	ron	Sora mea mai mică este profesoară, cea mai mare, doctoriță.
405991	ron	Clădirea ONU este foarte impunătoare.
405995	ron	Tatăl meu și-a oferit serviciile unei companii de comerț bine cunoscută.
405999	ron	În ultima vreme s-a discutat mult despre arhitectura noii școli.
406002	ron	Astăzi vremea e frumoasă.
406013	ron	Copacii erau foarte rari.
406017	ron	O ploaie rece a căzut peste oraș.
406020	ron	Este frumos astăzi.
406022	ron	Românii din Transilvania vorbesc foarte lent.
406028	ron	Domnul Anton le-a vorbit rece.
406031	ron	Îmi place baclavaua.
406033	ron	Îmi face plăcere să merg pe jos.
406035	ron	Îți plăcea să mergi la expoziții în România?
406038	ron	Îi voi da cartea mâine.
406042	ron	La început vă displăcuse ideea, dar acum păreți mulțumiți.
406044	ron	Daniela mi-a telefonat acasă.
406046	ron	Ți-aș oferi o cafea dacă ai timp.
406049	ron	Ni s-a spus că, din cauza zăpezii, putem pleca acasă.
406051	ron	O întâlnesc pe Mihaela în fiecare dimineață, la metrou.
406053	ron	Am întâlnit-o pe Mihaela la stația de metrou.
406055	ron	Când o întâlnisem în București, Anca era studentă.
406057	ron	Dacă aș vedea-o pe Anca, probabil că nu aș recunoaște-o.
406279	ron	Cum ești?
406809	ron	Cum te numești?
406815	ron	Cum vă numiți?
407920	ron	Mie îmi place foarte mult primăvara, nu mi-a plăcut niciodată vara.
407922	ron	Dacă ne aduceți câteva cărți, timpul ni se va părea mai scurt.
407927	ron	Ar fi bine să ne telefonați sâmbătă.
407930	ron	Ți-am spus să vii oricând îți convine.
407933	ron	V-am trimis o scrisoare săptămână trecută și vă trimit încă una azi.
407936	ron	Dacă așa vi s-a spus, probabil că e corect.
407938	ron	Lui Dan i-am cumpărat o cravată, Elenei îi cumpăr un fular.
407942	ron	Când îi vedeți pe Popești, transmiteți-le, vă rog, salutări de la noi.
407944	ron	Dacă le întâlniți pe surorile Orleanu, invitați-le la ziua Ruxandrei. Să nu-l uitați nici pe fratele lor.
407948	ron	Prima dată i-am văzut pe fotbaliștii români la Madrid.
407952	ron	Imediat ce îi contactați pe prietenii dumneavoastră, spuneți-le că se apropie o avalanșă.
407954	ron	Mașina mea e Ford, ca și a dumneavoastră.
407957	ron	Numele meu este românesc, al lui e american.
407959	ron	Copiii noștri sunt la școală, unde sunt ai dumneavoastră?
407961	ron	Cărțile mele sunt în limba română, ale ei sunt în engleză.
407963	ron	Care este mai completă, prima ediție sau a doua?
407974	ron	Profesoara care a luat cuvântul este de la Universitatea București.
407991	ron	Colega al cărei soț este francez a plecat la Paris.
407997	ron	Au venit la petrecere toți prietenii cărora le-am trimis invitații.
408001	ron	Nu mă pot hotărî pe care rochie să o cumpăr.
408004	ron	Pentru cine bat clopotele?
